dt,Sunlight,Workday
2013-09-18 00:00:00,738.9887389,1
2013-09-19 00:00:00,736.4801133,1
2013-09-20 00:00:00,733.9697838,1
2013-09-21 00:00:00,731.4580538,0
2013-09-22 00:00:00,728.9452261,0
2013-09-23 00:00:00,726.4316041,1
2013-09-24 00:00:00,723.9174921,1
2013-09-25 00:00:00,721.4031961,1
2013-09-26 00:00:00,718.8890243,1
2013-09-27 00:00:00,716.3752882,1
2013-09-28 00:00:00,713.862303,0
2013-09-29 00:00:00,711.350388,0
2013-09-30 00:00:00,708.8398678,1
2013-10-01 00:00:00,706.3310728,1
2013-10-02 00:00:00,703.8243398,1
2013-10-03 00:00:00,701.3200127,1
2013-10-04 00:00:00,698.8184432,1
2013-10-05 00:00:00,696.3199917,0
2013-10-06 00:00:00,693.8250276,0
2013-10-07 00:00:00,691.3339304,1
2013-10-08 00:00:00,688.8470901,1
2013-10-09 00:00:00,686.364908,1
2013-10-10 00:00:00,683.8877975,1
2013-10-11 00:00:00,681.4161843,1
2013-10-12 00:00:00,678.9505078,0
2013-10-13 00:00:00,676.4912213,0
2013-10-14 00:00:00,674.0387925,0
2013-10-15 00:00:00,671.5937048,1
2013-10-16 00:00:00,669.1564572,1
2013-10-17 00:00:00,666.7275654,1
2013-10-18 00:00:00,664.3075623,1
2013-10-19 00:00:00,661.8969984,0
2013-10-20 00:00:00,659.4964427,0
2013-10-21 00:00:00,657.1064829,1
2013-10-22 00:00:00,654.7277262,1
2013-10-23 00:00:00,652.3607996,1
2013-10-24 00:00:00,650.0063504,1
2013-10-25 00:00:00,647.6650468,1
2013-10-26 00:00:00,645.337578,0
2013-10-27 00:00:00,643.0246546,0
2013-10-28 00:00:00,640.7270092,1
2013-10-29 00:00:00,638.4453963,1
2013-10-30 00:00:00,636.1805925,1
2013-10-31 00:00:00,633.9333969,1
2013-11-01 00:00:00,631.704631,1
2013-11-02 00:00:00,629.4951386,0
2013-11-03 00:00:00,627.305786,0
2013-11-04 00:00:00,625.1374617,1
2013-11-05 00:00:00,622.991076,1
2013-11-06 00:00:00,620.867561,1
2013-11-07 00:00:00,618.7678703,1
2013-11-08 00:00:00,616.6929779,1
2013-11-09 00:00:00,614.6438784,0
2013-11-10 00:00:00,612.6215856,0
